Date,Audiences,MovieID
20130315,195,20128274
20130316,279,20128274
20130317,294,20128274
20130318,146,20128274
20130319,220,20128274
20130320,182,20128274
20130321,77,20128274
20130322,82,20128274
20130323,163,20128274
20130324,196,20128274
20130325,267,20128274
20130326,735,20128274
20130327,291,20128274
20130328,169,20128274
20160114,124146,20154001
20160115,132655,20154001
20160116,294850,20154001
20160117,267736,20154001
20160118,83519,20154001
20160119,77169,20154001
20160120,74211,20154001
20160121,63500,20154001
20160122,77237,20154001
20160123,171339,20154001
20160124,151866,20154001
20160125,46540,20154001
20160126,43770,20154001
20160127,59245,20154001
20160128,29978,20154001
20160129,36282,20154001
20160130,74980,20154001
20160131,66266,20154001
20160201,19165,20154001
20160202,17220,20154001
20160203,5720,20154001
20160204,3924,20154001
20160205,6106,20154001
20160206,8906,20154001
20160207,8085,20154001
20160208,11624,20154001
20160209,12987,20154001
20160210,8328,20154001
20160211,3232,20154001
20160212,4043,20154001
20160213,5640,20154001
20160214,4404,20154001
20160215,2095,20154001
20160216,1400,20154001
20160217,59,20154001
20160218,60,20154001
20160219,127,20154001
20160220,120,20154001
20160221,122,20154001
20160222,96,20154001
20160223,119,20154001
20160224,51,20154001
20160225,156,20154001
20160226,59,20154001
20160227,70,20154001
20160228,112,20154001
20160229,65,20154001
20160301,1262,20154001
20160302,232,20154001
20160303,142,20154001
20160304,336,20154001
20160305,553,20154001
20160306,765,20154001
20160307,174,20154001
20160308,281,20154001
20160309,248,20154001
20160310,23,20154001
20160311,138,20154001
20160312,24,20154001
20160313,38,20154001
20160314,182,20154001
20160315,105,20154001
20160316,185,20154001
20160317,117,20154001
20160318,106,20154001
20160319,119,20154001
20160320,118,20154001
20160321,66,20154001
20160322,66,20154001
20160323,85,20154001
20160324,62,20154001
20160325,57,20154001
20160326,77,20154001
20160327,69,20154001
20160328,22,20154001
20160329,22,20154001
20160330,33,20154001
20100916,53947,20100811
20100917,59867,20100811
20100918,122003,20100811
20100919,116704,20100811
20100920,86123,20100811
20100921,86320,20100811
20100922,119351,20100811
20100923,126910,20100811
20100924,74941,20100811
20100925,77190,20100811
20100926,55399,20100811
20100927,17732,20100811
20100928,16373,20100811
20100929,15325,20100811
20100930,11195,20100811
20101001,14512,20100811
20101002,29622,20100811
20101003,28135,20100811
20101004,9404,20100811
20101005,8308,20100811
20101006,7107,20100811
20101007,4329,20100811
20101008,5481,20100811
20101009,9808,20100811
20101010,8394,20100811
20101011,3226,20100811
20101012,2765,20100811
20101013,1724,20100811
20101014,238,20100811
20101015,352,20100811
20101016,212,20100811
20101017,229,20100811
20101018,105,20100811
20101019,109,20100811
20101020,105,20100811
20101021,33,20100811
20101022,21,20100811
20101023,77,20100811
20101024,60,20100811
20101025,32,20100811
20101026,14,20100811
20040617,27922,20040571
20040618,37002,20040571
20040619,63416,20040571
20040620,59173,20040571
20040621,28569,20040571
20040622,26966,20040571
20040623,24641,20040571
20040624,22462,20040571
20040625,25567,20040571
20040626,50801,20040571
20040627,45308,20040571
20040628,18491,20040571
20040629,14254,20040571
20040630,9802,20040571
20040701,8418,20040571
20040702,10830,20040571
20040703,21068,20040571
20040704,18749,20040571
20040705,9667,20040571
20040706,9688,20040571
20040707,9497,20040571
20040708,1897,20040571
20040709,1479,20040571
20040710,3138,20040571
20040711,3013,20040571
20040712,1249,20040571
20040713,1136,20040571
20040714,1000,20040571
20040715,600,20040571
20040716,653,20040571
20040717,549,20040571
20040718,489,20040571
20040719,10,20040571
20040720,7,20040571
20061214,50287,20060348
20061215,62790,20060348
20061216,118104,20060348
20061217,105442,20060348
20061218,46553,20060348
20061219,49076,20060348
20061220,31118,20060348
20061221,28901,20060348
20061222,35403,20060348
20061223,68346,20060348
20061224,99946,20060348
20061225,89774,20060348
20061226,26277,20060348
20061227,28630,20060348
20061228,20521,20060348
20061229,26979,20060348
20061230,38145,20060348
20061231,40761,20060348
20070101,34438,20060348
20070102,15874,20060348
20070103,15016,20060348
20070104,9223,20060348
20070105,10565,20060348
20070106,19109,20060348
20070107,16432,20060348
20070108,7074,20060348
20070109,7748,20060348
20070110,2420,20060348
20070111,938,20060348
20070112,883,20060348
20070113,1374,20060348
20070114,1105,20060348
20070115,795,20060348
20070116,696,20060348
20070117,753,20060348
20070118,85,20060348
20070119,130,20060348
20070120,690,20060348
20070121,492,20060348
20070122,425,20060348
20070123,403,20060348
20070124,429,20060348
20070125,104,20060348
20070126,95,20060348
20070127,25,20060348
20070128,21,20060348
20070129,89,20060348
20070130,117,20060348
20070131,6,20060348
20100513,73641,20090951
