ActorID,BirthDate,Name,TotalAudiences
10030280,19790321,백도빈,5685441
10030295,19801216,백봉기,604969
10030297,19710618,백상열,1514708
10030307,19890130,백성현,5580707
20169325,19791024,백승익,9889286
10030351,19470316,백윤식,30539341
10030361,19440610,백일섭,6577325
10030434,19661123,뱅상 카셀,4235276
20239927,19770801,버튼 페레즈,2665874
10030708,19760719,베네딕트 컴버배치,16307709
10030781,19730806,베라 파미가,5469053
20128889,19790519,베레니스 말로에,2376145
10031001,19731230,베어 제이슨,7855441
10031127,19810820,벤 반스,1140201
10031129,19480712,벤 버트,1325834
10031151,19651130,벤 스틸러,11570854
10031156,19720815,벤 애플렉,6854534
10031169,19801014,벤 위쇼,967593
10031191,19431231,벤 킹슬리,16122465
10031197,19801029,벤 포스터,1163274
10031400,19420608,변희봉,22923065
20131537,19861105,보아,2015026
10031644,19810000,봉태규,2797466
10031727,19810302,브라이스 달라스 하워드,5546792
10031926,19460601,브라이언 콕스,2773794
10032084,19631218,브래드 피트,13549674
10032109,19750105,브래들리 쿠퍼,1311190
10032139,19791009,브랜든 루스,1702765
10032261,19681203,브렌든 프레이저,5170800
10032511,19550319,브루스 윌리스,10313147
20127230,19870412,브룩클린 데커,2241687
10032593,19861023,브리아나 에비건,1044659
10032618,19720921,브리짓 모나핸,2415936
10032654,19760317,브리타니 다니엘,860340
10032962,19640730,비비카 A. 폭스,1500830
10028333,19650811,비올라 데이비스,1898220
10033301,19670718,빈 디젤,11396848
10033328,19590630,빈센트 도노프리오,5546792
10033412,19700328,빈스 본,2963193
10033433,19491212,빌 나이,4640230
10033469,19500921,빌 머레이,2537438
10033593,19550517,빌 팩스톤,4699307
10033600,19531217,빌 풀만,1500830
10033613,19780607,빌 헤이더,8349497
10033703,19421124,빌리 코놀리,1231024
10033789,19601012,사나다 히로유키,685561
10033933,19770601,사라 웨인 콜리스,2078698
10033936,19650325,사라 제시카 파커,1067550
10034033,19770513,사만다 모튼,4662534
10034095,19481221,사무엘 L. 잭슨,25850752
10034407,19700214,사이몬 페그,10086878
10034676,19640726,산드라 블록,5820292
10034928,19461106,샐리 필드,4853123
10034948,19920927,샘 러너,1051552
10035005,19760802,샘 워싱턴,20444896
10035154,19750807,샤를리즈 테론,9990731
20081269,19860611,샤이아 라보프,30333468
10036309,19770202,샤키라,4706158
20113516,19731127,샬토 코플리,2048857
20211008,19931012,서강준,4194590
10035342,19970805,서교,1328888
10035365,19680829,서동수,14375866
20231586,19930121,서미지,3587173
